0		1,51162	0,367832	1,45266	0,426798
1		1,32996	0,152809	1,13581	0,0413366
2		1,16743	0,508493	0,654716	0,00422001
3		1,01111	0,669507	0,341144	0,000461617
4		0,85698	0,685431	0,171497	5,25616e-05
5		0,7073	0,62142	0,0858743	6,10948e-06
6		0,567488	0,524046	0,0434411	7,17498e-07
7		0,443046	0,420745	0,022301	8,47013e-08
8		0,337527	0,325911	0,0116165	1,00255e-08
9		0,251876	0,245749	0,00612751	1,18827e-09
10		0,184853	0,181589	0,00326487	1,4094e-10
11		0,133921	0,132168	0,00175309	1,67222e-11
12		0,0960781	0,0951313	0,000946766	1,98375e-12
13		0,068433	0,0679195	0,000513468	2,34923e-13
14		0,0484869	0,0482076	0,000279322	2,70894e-14
15		0,0342248	0,0340725	0,00015228	
16		0,0240928	0,0240096	8,31481e-05	
17		0,0169278	0,0168823	4,54504e-05	
18		0,0118776	0,0118527	2,48633e-05	
19		0,00832607	0,00831246	1,36086e-05	
20		0,0058326	0,00582515	7,45139e-06	
21		0,00408395	0,00407987	4,08109e-06	
22		0,00285861	0,00285638	2,23561e-06	
23		0,00200046	0,00199923	1,22482e-06	
24		0,0013997	0,00139903	6,71107e-07	
25		0,00097924	0,000978872	3,67737e-07	
26		0,00068503	0,000684829	2,01513e-07	
27		0,000479189	0,000479078	1,10429e-07	
28		0,000335186	0,000335126	6,0516e-08	
29		0,000234452	0,000234419	3,31639e-08	
30		0,000163989	0,000163971	1,81746e-08	
31		0,000114701	0,000114691	9,96021e-09	
32		8,02266e-05	8,02211e-05	5,45851e-09	
33		5,61132e-05	5,61102e-05	2,99145e-09	
34		3,92474e-05	3,92457e-05	1,63942e-09	
35		2,74508e-05	2,74499e-05	8,98463e-10	
36		1,91998e-05	1,91993e-05	4,92392e-10	
37		1,34289e-05	1,34286e-05	2,69851e-10	
38		9,3925e-06	9,39235e-06	1,4789e-10	
39		6,56935e-06	6,56927e-06	8,10507e-11	
40		4,59477e-06	4,59472e-06	4,44205e-11	
41		3,21369e-06	3,21367e-06	2,43459e-11	
42		2,24774e-06	2,24772e-06	1,33449e-11	
43		1,57212e-06	1,57211e-06	7,31504e-12	
44		1,09958e-06	1,09958e-06	4,01013e-12	
45		7,69073e-07	7,69071e-07	2,19913e-12	
46		5,37908e-07	5,37907e-07	1,20703e-12	
47		3,76226e-07	3,76225e-07	6,63469e-13	
48		2,63142e-07	2,63141e-07	3,65041e-13	
49		1,84048e-07	1,84047e-07	2,01617e-13	
50		1,28727e-07	1,28727e-07	1,12799e-13	
51		9,0035e-08	9,00349e-08	6,39488e-14	
52		6,29726e-08	6,29726e-08	3,64153e-14	
53		4,40446e-08	4,40446e-08	2,13163e-14	
54		3,08058e-08	3,08058e-08	1,33227e-14	
55		2,15463e-08	2,15463e-08		
56		1,507e-08	1,507e-08		
57		1,05403e-08	1,05404e-08		
58		7,37217e-09	7,37218e-09		
59		5,15627e-09	5,15628e-09		
60		3,60642e-09	3,60643e-09		
61		2,52242e-09	2,52242e-09		
62		1,76424e-09	1,76424e-09		
63		1,23395e-09	1,23395e-09		
64		8,63055e-10	8,63057e-10		
65		6,03642e-10	6,03643e-10		
66		4,22201e-10	4,22203e-10		
67		2,95298e-10	2,953e-10		
68		2,06537e-10	2,06541e-10		
69		1,44457e-10	1,4446e-10		
70		1,01036e-10	1,01041e-10		
71		7,06688e-11	7,06724e-11		
72		4,94271e-11	4,94307e-11		
73		3,4575e-11	3,45732e-11		
74		2,41815e-11	2,41815e-11		
75		1,69145e-11	1,69127e-11		
76		1,18305e-11	1,18288e-11		
77		8,27427e-12	8,27249e-12		
78		5,78559e-12	5,78559e-12		
79		4,04299e-12	4,04654e-12		
80		2,82618e-12	2,82974e-12		
81		1,97531e-12	1,97886e-12		
82		1,38378e-12	1,38378e-12		
83		9,69891e-13	9,68114e-13		
84		6,76792e-13	6,76792e-13		
85		4,70735e-13	4,72511e-13		
86		3,28626e-13	3,30402e-13		
87		2,25597e-13	2,30926e-13		
88		1,54543e-13	1,61648e-13		
89		1,04805e-13	1,13687e-13		
90		7,10543e-14	7,81597e-14		
91		4,79616e-14	5,50671e-14		
92		3,01981e-14	3,90799e-14		
93		1,77636e-14	2,66454e-14		
94			1,77636e-14		
95			1,24345e-14		
96					
