0	18,1311
1	9,44281
2	0,0272025
3	0,011564
4	0,00591251
5	0,00332743
6	0,00201795
7	0,00129284
8	0,000858896
9	0,000583423
10	0,000401468
11	0,000278293
12	0,000193697
13	0,000135119
14	9,43711e-05
15	6,59555e-05
16	4,61124e-05
17	3,22454e-05
18	2,25508e-05
19	1,57717e-05
20	1,10308e-05
21	7,71515e-06
22	5,39614e-06
23	3,77418e-06
24	2,63976e-06
25	1,84631e-06
26	1,29135e-06
27	9,03205e-07
28	6,31724e-07
29	4,41843e-07
30	3,09036e-07
31	2,16147e-07
32	1,51179e-07
33	1,05738e-07
34	7,39557e-08
35	5,17264e-08
36	3,61787e-08
37	2,53042e-08
38	1,76984e-08
39	1,23787e-08
40	8,65795e-09
41	6,05558e-09
42	4,23542e-09
43	2,96236e-09
44	2,07194e-09
45	1,44917e-09
46	1,01358e-09
47	7,08923e-10
48	4,95838e-10
49	3,46803e-10
50	2,42558e-10
51	1,69655e-10
52	1,18659e-10
53	8,29932e-11
54	5,8046e-11
55	4,06022e-11
56	2,83951e-11
57	1,98614e-11
58	1,38929e-11
59	9,7149e-12
60	6,79456e-12
61	4,75353e-12
62	3,32534e-12
63	2,32525e-12
64	1,62537e-12
65	1,13687e-12
66	7,95808e-13
67	5,57776e-13
68	3,87246e-13
69	2,73559e-13
70	1,9007e-13
71	1,33227e-13
72	9,41469e-14
73	6,57252e-14
74	4,44089e-14
75	3,19744e-14
76	2,13163e-14
77	1,77636e-14
78	8,88178e-15
79	8,88178e-15
80	3,55271e-15
81	5,32907e-15
82	1,77636e-15
83	1,77636e-15
84	1,77636e-15
85	1,77636e-15
86	1,77636e-15
87	1,77636e-15
88	0
