10,225
5,51088
0,0184881
0,00529169
0,00223544
0,00110392
0,000568718
0,000295925
0,000154318
8,05078e-05
4,20036e-05
2,19146e-05
1,14334e-05
5,965e-06
3,11204e-06
1,6236e-06
8,47057e-07
4,41922e-07
2,30557e-07
1,20285e-07
6,27542e-08
3,27398e-08
1,70808e-08
8,91129e-09
4,64914e-09
2,42552e-09
1,26543e-09
6,60191e-10
3,44433e-10
1,79694e-10
9,3749e-11
4,89093e-11
2,55183e-11
1,3312e-11
6,94644e-12
3,62288e-12
1,89093e-12
9,85878e-13
5,14255e-13
2,69118e-13
1,39444e-13
7,37188e-14
3,81917e-14
1,95399e-14
8,88178e-15
7,10543e-15
2,66454e-15
1,77636e-15
0
