0	4,01589
1	2,8056
2	2,20363
3	1,79641
4	1,49818
5	1,27418
6	1,09688
7	0,947691
8	0,816737
9	0,699927
10	0,595965
11	0,504422
12	0,424842
13	0,35647
14	0,298287
15	0,249136
16	0,207834
17	0,173255
18	0,144378
19	0,120299
20	0,10024
21	0,0835374
22	0,0696324
23	0,0580557
24	0,0484159
25	0,0403868
26	0,0336975
27	0,0281225
28	0,023475
29	0,0195993
30	0,0163665
31	0,0136692
32	0,011418
33	0,00953891
34	0,00796999
35	0,00665982
36	0,00556555
37	0,00465148
38	0,00388782
39	0,00324975
40	0,00271656
41	0,00227098
42	0,00189857
43	0,00158729
44	0,0013271
45	0,00110959
46	0,000927765
47	0,000775751
48	0,00064866
49	0,0005424
50	0,000453556
51	0,00037927
52	0,000317155
53	0,000265217
54	0,000221786
55	0,00018547
56	0,000155101
57	0,000129706
58	0,000108469
59	9,07105e-05
60	7,58595e-05
61	6,34403e-05
62	5,30544e-05
63	4,4369e-05
64	3,71056e-05
65	3,10313e-05
66	2,59514e-05
67	2,17032e-05
68	1,81505e-05
69	1,51793e-05
70	1,26946e-05
71	1,06165e-05
72	8,8787e-06
73	7,42534e-06
74	6,20988e-06
75	5,19339e-06
76	4,34329e-06
77	3,63234e-06
78	3,03777e-06
79	2,54053e-06
80	2,12467e-06
81	1,77689e-06
82	1,48604e-06
83	1,2428e-06
84	1,03937e-06
85	8,69237e-07
86	7,26956e-07
87	6,07964e-07
88	5,08449e-07
89	4,25223e-07
90	3,55621e-07
91	2,97411e-07
92	2,48729e-07
93	2,08016e-07
94	1,73967e-07
95	1,45491e-07
96	1,21677e-07
