18,1311
9,44281
0,0272025
0,011564
0,00591251
0,00332743
0,00201795
0,00129284
0,000858896
0,000583423
0,000401468
0,000278293
0,000193697
0,000135119
9,43711e-05
6,59555e-05
4,61124e-05
3,22454e-05
2,25508e-05
1,57717e-05
1,10308e-05
7,71515e-06
5,39614e-06
3,77418e-06
2,63976e-06
1,84631e-06
1,29135e-06
9,03205e-07
6,31724e-07
4,41843e-07
3,09036e-07
2,16147e-07
1,51179e-07
1,05738e-07
7,39557e-08
5,17264e-08
3,61787e-08
2,53042e-08
1,76984e-08
1,23787e-08
8,65795e-09
6,05558e-09
4,23542e-09
2,96236e-09
2,07194e-09
1,44917e-09
1,01358e-09
7,08923e-10
4,95838e-10
3,46803e-10
2,42558e-10
1,69655e-10
1,18659e-10
8,29932e-11
5,8046e-11
4,06022e-11
2,83951e-11
1,98614e-11
1,38929e-11
9,7149e-12
6,79456e-12
4,75353e-12
3,32534e-12
2,32525e-12
1,62537e-12
1,13687e-12
7,95808e-13
5,57776e-13
3,87246e-13
2,73559e-13
1,9007e-13
1,33227e-13
9,41469e-14
6,57252e-14
4,44089e-14
3,19744e-14
2,13163e-14
1,77636e-14
8,88178e-15
8,88178e-15
3,55271e-15
5,32907e-15
1,77636e-15
1,77636e-15
1,77636e-15
1,77636e-15
1,77636e-15
1,77636e-15
0
